sku,name,category,grade,color_family,image_url,detail_url
89021,Almond,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/8/9/89021_tropitone_large_2f88.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89021
22356,Rocky Coast,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/2/22356_tropitone_large_2fdc.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/22356
14130,Nocciola,Cushion Fabrics,,Brown / Bronze / Earth,"https://platform.brownjordan.com/media/catalog/product/1/4/14130_tropitone_large_6341.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/14130
14204,Blue Sky,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/1/4/14204_tropitone_large_48b8.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/14204
1174,Bogota,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/1/1/1174_tropitone_large_1f84.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/1174
89026,Platinum Grey,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89026_tropitone_large_60b9.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89026
89065,Sparrow,Cushion Fabrics,,Brown / Bronze / Earth,"https://platform.brownjordan.com/media/catalog/product/8/9/89065_tropitone_large_1b29.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89065
40330,Caballeros,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/4/0/40330_tropitone_large_3d03.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/40330
23256,Mountain Stone,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/3/23256_tropitone_large_a403.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/23256
20273,Lemon Lime,Cushion Fabrics,,Yellow / Gold,"https://platform.brownjordan.com/media/catalog/product/2/0/20273_tropitone_large_110f.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/20273
24324,Night River,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/4/24324_tropitone_large_2fc8.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/24324
10325,Coral Bay,Cushion Fabrics,,Red / Coral / Pink,"https://platform.brownjordan.com/media/catalog/product/1/0/10325_tropitone_large_cca1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/10325
39105,Breezeway,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/3/9/39105_tropitone_large_add0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/39105
23255,Dark Carbon,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/3/23255_tropitone_large_7cc6.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/23255
12229,Blue Lantern,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/1/2/12229_tropitone_large_bfa8.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/12229
11233,Corniche,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/1/1/11233_tropitone_large_636e.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/11233
89056,Atoll,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/8/9/89056_tropitone_large_e62e.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89056
12344,Silver Spoon,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/1/2/12344_tropitone_large_7856.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/12344
89137,Smokey Quartz,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89137_tropitone_large_e366.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89137
89132,Napa Batik Blue,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/8/9/89132_tropitone_large_82a3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89132
17418,Carbonite,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/1/7/17418_tropitone_large_828c.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/17418
89030,Peacock,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/8/9/89030_tropitone_large_35c2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89030
89147,Pasadena Grey Topaz,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89147_tropitone_large_43cf.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89147
