SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
T68,Black  Grey,Tempotest®,D,Black,Black | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_blackgrey_T68.jpg
T727/515,Terra Gravel,Tempotest®,D,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_terra-gravel_T727-515.jpg
T728/79,Grey Dawn,Tempotest®,D,Yellow,Yellow | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_grey-dawn_T728-79.jpg
T739/701,Key Lime,Tempotest®,D,Green,Green | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_key-lime_T739-701.jpg
T770/55,Bright Orange  Yellow,Tempotest®,D,Orange,Orange | Yellow,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_bright-orangeyellow_T770-55.jpg
T782/87,Wave,Tempotest®,D,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_wave_T782-87.jpg
T790,Black  White,Tempotest®,D,Black,Black | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_blackwhite_T790.jpg
T792/24,Sweden,Tempotest®,D,Black,Black | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_sweden_T792-24.jpg
T792/5,Denmark,Tempotest®,D,Green,Green | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_denmark_T792-5.jpg
T792/73,Norway,Tempotest®,D,Red,Red | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_norway_T792-73.jpg
T792/75,Finland,Tempotest®,D,Blue,Blue | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_finland_T792-75.jpg
T945/97,Café Au Lait,Tempotest®,D,Beige,Beige | Green,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_cafe-au-lait_T945-97.jpg
T947/14,Bamboo Sienna,Tempotest®,D,Beige,Beige | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_bamboo-sienna_T947-14.jpg
T948/21,Winter Sky,Tempotest®,D,Green,Green | Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_winter-sky_T948-21.jpg
T949/91,Chocolate Almond,Tempotest®,D,Brown,Brown | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_chocolate-almond_T949-91.jpg
T950/24,Tuxedo,Tempotest®,D,Grey,Grey | Black,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_tuxedo_T950-24.jpg
T951/92,Denim Almond,Tempotest®,D,Blue,Blue | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_denim-almond_T951-92.jpg
T966/426,Roasted Peppers,Tempotest®,D,Red,Red | Orange,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_roasted-peppers_T966-426.jpg
T967/926,Greco Grey,Tempotest®,D,Grey,Grey | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_greco-grey_T967-926.jpg
1033/929,Sand Vanilla,Tempotest®,E,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-vanilla_1033-929.jpg
1039/14,Sand Beige,Tempotest®,E,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-beige_1039-14.jpg
