product_category,item_number,finish_code,finish_name,size,vent_type,msrp_C_Suncrylic,sale_C_Suncrylic,msrp_B_Sunbrella,sale_B_Sunbrella,msrp_A_Sunbrella,sale_A_Sunbrella,msrp_BB_Sunbrella,sale_BB_Sunbrella,msrp_AA_Sunbrella,sale_AA_Sunbrella
Aluminum Market Umbrella - Cantilever,899AB,AB,Antique Bronze,13',Double Vent,n/a,n/a,4310,3233,4410,3308,4360,3270,4460,3345
Aluminum Market Umbrella - Cantilever,899BK,BK,Black,13',Double Vent,n/a,n/a,4310,3233,4410,3308,4360,3270,4460,3345
Aluminum Market Umbrella - Cantilever,897AB,AB,Antique Bronze,10x10',Single Vent,n/a,n/a,3390,2543,3455,2592,3440,2580,3505,2629
Aluminum Market Umbrella - Cantilever,897AB,AB,Antique Bronze,10x10',Double Vent,n/a,n/a,3530,2648,3595,2697,3580,2685,3645,2734
Aluminum Market Umbrella - Cantilever,897BK,BK,Black,10x10',Single Vent,n/a,n/a,3390,2543,3455,2592,3440,2580,3505,2629
Aluminum Market Umbrella - Cantilever,897BK,BK,Black,10x10',Double Vent,n/a,n/a,3530,2648,3595,2697,3580,2685,3645,2734
Wood Umbrella - Cafe,121,LW,Light Wood,7.5',Single Vent,550,413,635,477,690,518,675,507,730,548
Wood Umbrella - Cafe,121,LW,Light Wood,7.5',Double Vent,n/a,n/a,755,567,810,608,795,597,850,638
Wood Umbrella - Cafe,221,DW,Dark Wood,7.5',Single Vent,550,413,635,477,690,518,675,507,730,548
Wood Umbrella - Cafe,221,DW,Dark Wood,7.5',Double Vent,n/a,n/a,755,567,810,608,795,597,850,638
Wood Umbrella - Market,131,LW,Light Wood,9',Single Vent,610,458,735,552,790,593,775,582,830,623
Wood Umbrella - Market,131,LW,Light Wood,9',Double Vent,n/a,n/a,855,642,910,683,895,672,950,713
Wood Umbrella - Market,132,LW,Light Wood,9',Single Vent,650,488,775,582,830,623,815,612,870,653
Wood Umbrella - Market,132,LW,Light Wood,9',Double Vent,n/a,n/a,895,672,950,713,935,702,990,743
Wood Umbrella - Market,232,DW,Dark Wood,9',Single Vent,650,488,775,582,830,623,815,612,870,653
Wood Umbrella - Market,232,DW,Dark Wood,9',Double Vent,n/a,n/a,895,672,950,713,935,702,990,743
Wood Umbrella - Market,136,LW,Light Wood,9',Single Vent,765,574,830,623,885,664,870,653,925,694
Wood Umbrella - Market,136,LW,Light Wood,9',Double Vent,n/a,n/a,950,713,1005,754,990,743,1045,784
Wood Umbrella - Market,183,LW,Light Wood,11',Single Vent,1050,788,1280,960,1365,1024,1330,998,1415,1062
Wood Umbrella - Market,183,LW,Light Wood,11',Double Vent,n/a,n/a,1420,1065,1505,1129,1470,1103,1555,1167
Wood Umbrella - Teak,532TK,TK,Teak Wood,9',Single Vent,1240,930,1305,979,1360,1020,1345,1009,1400,1050
Wood Umbrella - Teak,532TK,TK,Teak Wood,9',Double Vent,n/a,n/a,1425,1069,1480,1110,1465,1099,1520,1140
Wood Umbrella - Teak,537TK,TK,Teak Wood,9',Single Vent,1270,953,1335,1002,1390,1043,1375,1032,1430,1073
Wood Umbrella - Teak,537TK,TK,Teak Wood,9',Double Vent,n/a,n/a,1455,1092,1510,1133,1495,1122,1550,1163
Wood Umbrella - Teak,587TK,TK,Teak Wood,11',Single Vent,1560,1170,1790,1343,1875,1407,1840,1380,1925,1444
Wood Umbrella - Teak,587TK,TK,Teak Wood,11',Double Vent,n/a,n/a,1930,1448,2015,1512,1980,1485,2065,1549
