Collection,Product Name,SKU,Height (in),Width/Diam (in),Depth/Length (in),Arm Height (in),Seat Height (in),Weight (lbs),Spec Sheet PDF URL,Source URL,SKU Flag
Elba,"30"" Rd. Chat Height Elba Aluminum Fire Pit",5122-30RDC,25,30,30,,,104,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-30RDC-Elba.pdf,https://www.owlee.com/collections/casual-fireside/30-rd-chat-height-elba-aluminum-fire-pit/,
Elba,"30"" x 50"" Chat Height Elba Aluminum Fire Pit",5122-3050C,24,50,30,,,168,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-3050C-Elba.pdf,https://www.owlee.com/collections/casual-fireside/30x50-chat-height-elba-aluminum-fire-pit-casual-fireside-elba/,
Elba,"30"" x 50"" Occasional Height Elba Aluminum Fire Pit",5122-3050O,19,50,30,,,160,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-3050O-Elba.pdf,https://www.owlee.com/collections/casual-fireside/30x50-occasional-height-elba-aluminum-fire-pit-casual-fireside-elba/,
Elba,"36"" Rd. Chat Height Elba Aluminum Fire Pit",5122-36RDC,24,36,36,,,148,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-36RDC-Elba.pdf,https://www.owlee.com/collections/casual-fireside/36-rd-chat-height-elba-aluminum-fire-pit/,
Elba,"36"" x 58"" Chat Height Elba Aluminum Fire Pit",5122-3658C,24,58,36,,,203,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-3658C-Elba.pdf,https://www.owlee.com/collections/casual-fireside/36-x-58-chat-height-elba-aluminum-fire-pit-casual-fireside-elba/,
Elba,"36"" x 58"" Occasional Height Elba Aluminum Fire Pit",5122-3658O,19,58,36,,,195,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-3658O-Elba.pdf,https://www.owlee.com/collections/casual-fireside/36x58-occasional-height-elba-aluminum-fire-pit-casual-fireside-elba/,
Elba,"42"" Rd. Chat Height Elba Aluminum Fire Pit",5122-42RDC,24,42,42,,,115,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-42RDC-Elba.pdf,https://www.owlee.com/collections/casual-fireside/42-rd-chat-height-elba-aluminum-fire-pit/,
Elba,"42"" Rd. Occasional Height Elba Aluminum Fire Pit",5122-42RDO,19,42,42,,,109,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-42RDO-Elba.pdf,https://www.owlee.com/collections/casual-fireside/42-rd-occasional-height-elba-aluminum-fire-pit/,
Elba,"42"" x 72"" Counter Height Elba Aluminum Fire Pit",5122-4272K,38,72,42,,,,,https://www.owlee.com/collections/casual-fireside/42x72-counter-height-elba-aluminum-fire-pit-casual-fireside-elba/,
Elba,"54"" Rd. Chat Height Elba Aluminum Fire Pit",5122-54RDC,24,54,54,,,203,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-54RDC-Elba.pdf,https://www.owlee.com/collections/casual-fireside/54-rd-chat-height-elba-aluminum-fire-pit/,
Elba,"54"" Rd. Counter Height Elba Aluminum Fire Pit",5122-54RDK,38,54,54,,,235,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-54RDK-Elba.pdf,https://www.owlee.com/collections/casual-fireside/54-rd-counter-height-elba-aluminum-fire-pit/,
Elba,"54"" Rd. Dining Height Elba Aluminum Fire Pit",5122-54RDD,29,54,54,,,217,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-54RDD-Elba.pdf,https://www.owlee.com/collections/casual-fireside/54-rd-dining-height-elba-aluminum-fire-pit/,
Elba,"54"" Rd. Occasional Height Elba Aluminum Fire Pit",5122-54RDO,19,54,54,,,155,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-54RDO-Elba.pdf,https://www.owlee.com/collections/casual-fireside/54-rd-occasional-height-elba-aluminum-fire-pit/,
Forma,"25"" x 45"" Occasional Heights Forma Fire Pit",5152-2545O,19,45,25,,,185,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5152-2545O-Forma.pdf,https://www.owlee.com/collections/casual-fireside/25x45-occasional-heights-forma-fire-pit/,
Forma,"25"" x 65"" Occasional Heights Forma Fire Pit",5152-2565O,19,65,25,,,210,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5152-2565O-Forma.pdf,https://www.owlee.com/collections/casual-fireside/25x65-occasional-heights-forma-fire-pit/,
Haven,"Haven 42"" Square Chat Height Fire Pit",5125-42SQC,24,42,42,,,88,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5125-42SQC-Haven.pdf,https://www.owlee.com/collections/casual-fireside/haven-42-square-chat-height-fire-pit/,
Haven,"Haven 42"" Square Occasional Height Fire Pit",5125-42SQO,19,42,42,,,88,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5125-42SQO-Haven.pdf,https://www.owlee.com/collections/casual-fireside/haven-square-occasional-fire-pit/,
Moda,"25"" x 45"" Occasional Heights Moda Fire Pit",5153-2545O,18,45,25,,,98,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5153-2545O-Moda.pdf,https://www.owlee.com/collections/casual-fireside/25-x-45-occasional-heights-moda-fire-pit/,
Moda,"25"" x 65"" Occasional Heights Moda Fire Pit",5153-2565O,19,65,25,,,158,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5153-2565O-Moda.pdf,https://www.owlee.com/collections/casual-fireside/25-x-65-occasional-heights-moda-fire-pit/,
Nova,"Nova 42"" Round Chat Height Fire Pit",5163-42RDC,24,42,42,,,145,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_Nova.pdf,https://www.owlee.com/collections/casual-fireside/nova-42-round-chat-height-fire-pit/,
Phoenix,"31x56"" Chat Height Phoenix Fire Pit",5113-3156C,24,56,31,,,145,https://www.owlee.com/wp-content/uploads/2026/02/Fire-Pits_Retail_SpecSheet_2026_5113-3156O-Phoenix-Chat.pdf,https://www.owlee.com/collections/casual-fireside/30x50-chat-height-phoenix-fire-pit/,
Phoenix,"42"" Rd. Occasional Height Phoenix Fire Pit",5123-42RDO,19,42,42,,,135,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_Phoenix-5113-42RDO.pdf,https://www.owlee.com/collections/casual-fireside/42-rd-occasional-height-phoenix-fire-pit-casual-fireside-phoenix/,
"Tables, Tops & Bases","20"" Round Micro Mesh Iron Side Table",51-LT20MMRD,23.25,20,20,,,26,,https://www.owlee.com/collections/fully-welded-tables/20-rd-side-table-fully-welded-tables-micro-mesh-iron-tables/,
"Tables, Tops & Bases","20"" Round Porcelain Tile Iron Side Table",51-LT20RD,24,20,20,,,26,,https://www.owlee.com/collections/fully-welded-tables/20-round-porcelain-tile-iron-side-table/,
"Tables, Tops & Bases","20"" Square Slat Top Side Table",MA-2020ST,20.5,20,20,,,22,,https://www.owlee.com/collections/fully-welded-tables/20-square-slat-top-side-table/,
"Tables, Tops & Bases","21"" x 57"" Quadra Iron Counter Table",QD-2157,37.5,56.5,20.5,,,66,,https://www.owlee.com/collections/quadra-iron-tables/21-x-57-counter-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","21"" x 57"" Quadra Iron Dining Table",QD-2157DT,29,56.5,20.5,,,66,,https://www.owlee.com/collections/quadra-iron-tables/21-x-57-dining-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","23"" Square Quadra Iron Side Table",QD-2323ST,18,22.5,22.5,,,38,,https://www.owlee.com/collections/quadra-iron-tables/23-sq-side-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","24"" Round Dekton Top",,,24,24,,,,,https://www.owlee.com/collections/dekton-tops/24-round-dekton-top/,REVIEW - No SKU found
"Tables, Tops & Bases","24"" Round Micro Mesh Top",,,24,24,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/24-round-mesh-top/,REVIEW - No SKU found
"Tables, Tops & Bases","24"" Round Porcelain Top",,,24,24,,,,,https://www.owlee.com/collections/porcelain/24-round-city-top-porcelain-table-tops-city-series/,REVIEW - No SKU found
"Tables, Tops & Bases","24"" Square Dekton Top",,,24,24,,,,,https://www.owlee.com/collections/dekton-tops/24-square-dekton-top/,REVIEW - No SKU found
"Tables, Tops & Bases","24"" Square Porcelain Table Top",,,24,24,,,34,,https://www.owlee.com/collections/porcelain/24-square-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","28"" x 50"" Micro Mesh Top",,,28,50,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/28-x-50-mesh-top/,REVIEW - No SKU found
"Tables, Tops & Bases","28"" x 50"" Porcelain Table Top",,,28,50,,,70,,https://www.owlee.com/collections/porcelain/28-x-50-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","30"" Round Micro Mesh Top",,,30,30,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/30-round-mesh-top/,REVIEW - No SKU found
"Tables, Tops & Bases","30"" Round Porcelain Table Top",,,30,30,,,,,https://www.owlee.com/collections/porcelain/30-round-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","31"" x 53"" Quadra Iron Occasional Table",QD-3153OT,18,52.5,30.5,,,151,,https://www.owlee.com/collections/quadra-iron-tables/31-x-53-occasional-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","31x56"" Dekton Table Top",,,56,31,,,,,https://www.owlee.com/collections/dekton-tops/31x56-dekton-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","33"" x 75"" Dining Table",QD-3375DT,29,75,33,,,,,https://www.owlee.com/collections/quadra-iron-tables/33-x-75-dining-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","33"" x 75"" Quadra Iron Counter Table",QD-3375CT,37.5,75,33,,,284,,https://www.owlee.com/collections/quadra-iron-tables/33-x-75-counter-table-fully-welded-tables-quadra-iron-tables/,
"Tables, Tops & Bases","36"" Square Porcelain Table Top",,,36,36,,,,,https://www.owlee.com/collections/porcelain/36-square-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","36"" x 58"" Micro Mesh Top with Umbrella Hole",,,36,58,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/36-x-58-mesh-top-with-umbrella/,REVIEW - No SKU found
"Tables, Tops & Bases","36"" x 58"" Porcelain Table Top",,,36,58,,,92,,https://www.owlee.com/collections/porcelain/36-x-58-porcelain-table-top/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" Round Micro Mesh Top with Umbrella Hole",,,42,42,,,,,https://www.owlee.com/collections/micro-mesh-table-tops/42-round-mesh-top-with-umbrella/,REVIEW - No SKU found
"Tables, Tops & Bases","42"" Round Porcelain Table Top",,,42,42,,,66,,https://www.owlee.com/collections/porcelain/42-round-porcelain-table-top/,REVIEW - No SKU found
