Product Name,Category,SKU / Model,Weight,Dimensions,Description,MSRP,Sale Price,Image Note
150A+18ST2 Round,Bases & Mounts,150A+18ST2,150 lbs./68 kg.,"30""/76cm dia. x 3.5""/9cm x 18ST2 stem (18""/45cm x 2""/5cm dia.)",Aluminum concrete-filled shell with rear hooded wheels. Premium aluminum base.,970,1067,
36G+18ST2 Round,Bases & Mounts,36G+18ST2,150 lbs./68 kg.,"36""/91cm dia. x 1""/2.5cm x 18ST2 stem (18""/45cm x 2""/5cm dia.)",Galvanized steel plate base. Stackable up to 4 plates. Freestanding.,1160,1276,
36G-SQ+18ST2,Bases & Mounts,36G-SQ+18ST2,214 lbs./97 kg.,"36""/91cm x 6""/15.2cm x 18ST2 stem (18""/45cm x 2""/5cm dia.)",Galvanized steel plate. Freestanding (+W-Kit).,1430,1573,
40G+18ST2 Round,Bases & Mounts,40G+18ST2,185 lbs./84 kg.,"40""/101cm dia. x 1""/2.5cm x 18ST2 stem (18""/45cm x 2""/5cm dia.)",Galvanized steel plate base. Stackable up to 4 plates. Freestanding.,1430,1573,
480+18ST2 Square,Bases & Mounts,480+18ST2,80 lbs./36 kg. empty,"34""/86cm x 6.5""/16.5cm x 18ST2 stem (18""/45cm x 2""/5cm dia.)",Powder coated aluminum cover. Includes wheels. Pavers not included. Minimum 480 lbs./217 kg. with pavers. Freestanding.,1380,1518,
NGU-DP,Bases & Mounts,NGU-DP,20 lbs./9 kg.,"16""/40cm x 0.625""/1.58cm",Nova-specific surface mounting plate. In-ground mounting into soft soil or concrete. Installation hardware not included.,280,308,
NGU550,Bases & Mounts,NGU550,550 lbs./249 kg.,"45""/114cm x 0.5""/12.7mm",Nova-specific galvanized steel max base. Powder coated aluminum cover. Commercial use and large areas. Freestanding.,2540,2794,Primary image. Also used by: NGU550-L
NGU550-L,Bases & Mounts,NGU550-L,,"45""/114cm x 5""/12.7cm",Replacement aluminum top cover for NGU550. Brushed Silver standard; additional finishes available.,810,891,Shared image. Reuse image from: NGU550
BZ2-SM,Bases & Mounts,BZ2-SM,11 lbs./5 kg.,"16""/40cm x 2""/5cm dia.",In-ground sleeve installation with removable stem. Stainless steel upgrade available (BZ2-SS). Installation materials not included.,484,533,Primary image. Also used by: BZ2-SS Upgrade
BZ2-SS Upgrade,Bases & Mounts,BZ2-SS,,,Stainless steel bazooka stem upgrade. Add to BZ2-SM MSRP.,112,124,Shared image. Reuse image from: BZ2-SM
CMLK-SM,Bases & Mounts,CMLK-SM,9 lbs./4 kg.,"16""/40cm x 1.5""/3.8cm x 18""/45cm stem","Stainless steel surface mounting plate with attachable 18"" stem. Installation hardware not included.",306,337,
