table_top_sku,base_sku
#W-24SQD,MA-ST01
#W-24SQD,37-ST01
#W-24SQD,9-ST01
#W-36SQD,OT03-BASE
#W-36SQD,DT03-BASE
#W-36SQD,CT03-BASE
#W-36SQD,BT03-BASE
#W-36SQD,AT-DT03
#W-36SQD,AT-CT03
#W-36SQD,MA-OT03
#W-36SQD,MA-DT03
#W-36SQD,MA-CT03
#W-36SQD,MA-BT03
#W-36SQD,37-DT03
#W-36SQD,9-DT03
#W-42SQD,OT03-BASE
#W-42SQD,DT03-BASE
#W-42SQD,CT03-BASE
#W-42SQD,BT03-BASE
#W-42SQD,AT-DT03
#W-42SQD,AT-CT03
#W-42SQD,MA-OT03
#W-42SQD,MA-DT03
#W-42SQD,MA-CT03
#W-42SQD,MA-BT03
#W-42SQD,37-DT03
#W-42SQD,9-DT03
#W-42SQUD,OT03-BASE
#W-42SQUD,DT03-BASE
#W-42SQUD,CT03-BASE
#W-42SQUD,BT03-BASE
#W-42SQUD,AT-DT03
#W-42SQUD,AT-CT03
#W-42SQUD,MA-OT03
#W-42SQUD,MA-DT03
#W-42SQUD,MA-CT03
#W-42SQUD,MA-BT03
#W-42SQUD,37-DT03
#W-42SQUD,9-DT03
#D-24D,ST01-BASE
#D-24D,DT01-BASE
#D-24D,CT01-BASE
#D-24D,BT01-BASE
#D-24D,AT-DT01
#D-24D,AT-CT01
#D-24D,MA-ST01
#D-24D,37-ST01
#D-24D,9-ST01
#D-30D,ST01-BASE
#D-30D,DT01-BASE
#D-30D,CT01-BASE
#D-30D,BT01-BASE
#D-30D,AT-DT01
#D-30D,AT-CT01
#D-30D,MA-ST01
#D-30D,37-ST01
#D-30D,9-ST01
#D-42D,OT03-BASE
#D-42D,DT03-BASE
#D-42D,CT03-BASE
#D-42D,BT03-BASE
#D-42D,AT-DT03
#D-42D,AT-CT03
#D-42D,MA-OT03
#D-42D,MA-DT03
#D-42D,MA-CT03
#D-42D,MA-BT03
#D-42D,37-DT03
#D-42D,9-DT03
#D-42UD,OT03-BASE
#D-42UD,DT03-BASE
#D-42UD,CT03-BASE
