name,sku,collection,category,width,depth,height,seat_height,arm_height,fabrics,finishes,frame_materials,additional_colors,description,tags,image_url,url
Dj Side Table High,DJ02-ANTHRSTOCK-0000,DJ,Coffee Side Tables,,50cm/20,50cm/20,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame | ,,https://america.couturejardin.com/wp-content/uploads/2021/05/dj02-anthracite.jpg,https://america.couturejardin.com/product/dj-side-table-high/
Dj Side Table Light Grey High,DJ02-GREYSTOCK0-0000,DJ,Coffee Side Tables,,50cm/20,50cm/20,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame | ,,https://america.couturejardin.com/wp-content/uploads/2024/06/dj02-light-grey-1.jpg,https://america.couturejardin.com/product/dj-side-table-light-grey-high/
Dj Side Table White High,DJ02-WHITESTOCK-0000,DJ,Coffee Side Tables,,50cm/20,50cm/20,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2024/06/dj02-white-1.jpg,https://america.couturejardin.com/product/dj-side-table-white-high/
Dj Side Table Greige Low,DJ03-GREIGSTOCK-0000,DJ,Coffee Side Tables,,60cm/24,45cm/18,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2021/05/DJ_06.jpg,https://america.couturejardin.com/product/dj-side-table-greige-low/
Dj Side Table Anthracite Low,DJ03-ANTHRSTOCK-0000,DJ,Coffee Side Tables,,60cm/24,45cm/18,,,"UV treated, foam, acrylic fabric","Anthracite, Cover Greige, White","welded, aluminum, powder coating",,• A cute little table to keep close to hand | • Contract-grade welded aluminum frame• Tiger brand powder coating• UV treated outdoor cord• High density foam• UV treated durable outdoor acrylic fabric,,https://america.couturejardin.com/wp-content/uploads/2024/06/dj03-anthracite.jpg,https://america.couturejardin.com/product/dj-side-table-anthracite-low/
Dj Side Table Light Grey Low,DJ03-GREYSTOCK0-0000,DJ,Coffee Side Tables,,60cm/24,45cm/18,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame | ,,https://america.couturejardin.com/wp-content/uploads/2024/06/dj03-light-grey-1.jpg,https://america.couturejardin.com/product/dj-side-table-light-grey-low/
Dj Side Table White Low,DJ03-WHITESTOCK-0000,DJ,Coffee Side Tables,,,45cm/18,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame | ,,https://america.couturejardin.com/wp-content/uploads/2025/09/dj03-white-873x675px.jpg,https://america.couturejardin.com/product/dj-side-table-white-low/
Scoop Coffee Table,SC04-GREIGSTOCK-0000,SCOOP,Coffee Side Tables,76cm/30,114cm/45,35cm/14,,,,"Cover Greige, Cover Light grey, Cushion Cast Silver, Frame Light grey","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL table top,Scoop,https://america.couturejardin.com/wp-content/uploads/2023/06/scoop-categories-banner-01.jpg,https://america.couturejardin.com/product/scoop-coffee-table/
Play Ottoman Grey,PY09-ANTHRSTOCK-0000,PLAY,Coffee Side Tables,84cm/33,84cm/33,38cm/15,,,"foam, UV treated, acrylic fabric, COUTUREtex, waterproof",,"welded, aluminum, powder coating",,"Contract-grade welded aluminum frame | Tiger brand powder coating | High density foam | UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treated",Play,https://america.couturejardin.com/wp-content/uploads/2024/06/play-ottoman-sku-py09-b.jpg,https://america.couturejardin.com/product/play-ottoman-grey/
Breeze Coffee Table,BR04-ANTHRSTOCK-0000,BREEZE,Coffee Side Tables,70cm/27.6,114cm/45,35cm/13.8,,,,"Frame Greige, Weaving Greige","welded, aluminum, powder coating",,Contract-grade welded aluminum frame; | Tiger brand powder coating; | HPL Table Top,Breeze,https://america.couturejardin.com/wp-content/uploads/2025/06/br04.jpg,https://america.couturejardin.com/product/breeze-coffee-table/
