name,number,grade,color family,stripe
Canvas Tamale,14086-0000,A,Red,No
Cast Sand,49013-0000,A,Beige,No
Clock Out Cloud,146205-0003,C,Gray,No
Play Oat,40616-0002,A,Beige,No
Plume Peacock,146274-0001,C,Teal,No
Relate Persimmon,57017-0003,B,Red,Yes
Remix Silk,48145-0003,A,Beige,No
Sailcloth Sailor,32000-0026,C,Beige,No
Ambrose Terracotta,40608-0007,C,Orange,No
Canvas Harvest,14165-0000,A,Beige,No
Exhale Adobe,400001-0007,B,Orange,No
Expressive Mist,14120-0000,B,Gray,Yes
Fischer Lagoon,45885-0000,C,Teal,No
Floral Song Navy,146023-0003,C,Navy,No
Heritage Sable,18019-0000,C,Brown,No
Jaipur Frame II Chive,146409-0002,C,Green,No
Marvel Mushroom,44494-0004,B,Beige,No
Peyton Granite,56075-0000,B,Gray,Yes
Resonate Atlantis,145656-0003,C,Blue,No
Surround Sunrise,40584-0002,B,Multicolor,Yes
Unwind Driftwood,400005-0001,B,Beige,Yes
Astoria Lagoon,56096-0000,B,Multicolor,Yes
Canvas Teal,5456-0000,A,Teal,No
Gateway Tamale,14088-0000,B,Red,Yes
Bravada Limelite,5602-0000,B,Blue,Yes
Charmer Parchment,42111-0001,C,Beige,No
Dorsett Cherry,56059-0000,B,Red,Yes
Heritage Alpine,18018-0000,C,Teal,No
Heritage Ashe,18001-0000,C,Beige,No
Mixi Linen,44512-0006,B,Beige,Yes
Momento Dove,42105-0003,C,Beige,No
Benson Sand,47202-0001,B,Beige,Yes
Direction Linen,40599-0001,B,Beige,Yes
Gavin Mist,56052-0000,B,Teal,Yes
Milano Cobalt,56080-0000,B,Blue,Yes
Play Scarlet,40616-0013,A,Red,No
Solo Sky,40605-0010,B,Teal,Yes
Ambrose Denim,40608-0011,C,Blue,No
Bravada Salsa,5601-0000,B,Red,Yes
Calm Graphite,145854-0001,C,Gray,No
Canvas Hot Pink,5462-0000,A,Pink,No
Heritage Sky,18016-0000,C,Gray,No
Heritage Slate,18015-0000,C,Gray,No
Midori Stone,145256-0005,C,Gray,No
Solve Denim,146397-0001,C,Gray,No
Voyage Breeze,146206-0003,C,Teal,No
Assemble II Clay,47247-0002,C,Red,No
Beaming Fiesta,14122-0000,B,Multicolor,Yes
Exhale Teak,400001-0006,B,Brown,No
Lively Parchment,146404-0002,C,Beige,No
Nuance Cloud,400000-0001,B,Beige,No
Solo Chili,40605-0014,C,Orange,No
Token Surfside,58040-0000,B,Teal,Yes
Voyage Dune,146206-0004,C,Beige,No
Clock Out Frond,146205-0001,C,Green,No
Plume Tropics,146274-0006,C,Yellow,No
Spinner Diamond II Teak,146102-0005,C,Brown,No
Calm Laurel,145854-0002,C,White,No
Carlo Coastal,146479-0004,B,White,Yes
Dream Dune,146395-0002,C,Beige,No
Fretwork Flax,45991-0001,C,Beige,No
Frond Spring,146472-0002,C,Beige,No
Heritage Saddle,18020-0000,C,Brown,No
Martinique Mango,146484-0002,C,Orange,No
Refresh Dune,40640-0000,B,Beige,Yes
Charmer Indigo,42111-0006,C,Navy,No
Charmer Pebble,42111-0003,C,Beige,No
Exhale Sky,400001-0002,B,Gray,No
Heritage Papyrus,18006-0000,C,Beige,No
Patra Indigo,146425-0001,C,Navy,No
Shore Classic,58033-0000,B,Gray,Yes
Solve Linen,146397-0003,C,Beige,No
Trusted Coast,40524-0002,B,Gray,Yes
Heritage Scarlet,18022-0000,C,Red,No
Kaia Wheat,146437-0002,B,Beige,Yes
Rapids Camel,73071-0001,C,Beige,No
Brushstroke Duck Egg,146588-0001,C,Teal,No
Carousel Confetti,7774-0000,B,Multicolor,Yes
Exhale Driftwood,400001-0005,B,Beige,No
Momento Snow,42105-0001,C,White,No
Refresh Spa,40638-0000,B,Gray,Yes
Spinner Diamond Onyx,145987-0001,C,Beige,No
Assemble II Teak,47247-0001,C,Brown,No
Brushstroke Stucco,146588-0005,C,Beige,No
Foster Metallic,56051-0000,B,Yellow,Yes
Frond Sky,146472-0003,C,Gray,No
Margo Parchment,305811-0002,C,Beige,No
Shadow Sand,51000-0001,B,Beige,Yes
Spinner Diamond II Midnight,146102-0007,C,Navy,No
Valley Desert,146597-0003,C,Multicolor,No
Create Laurel,145844-0004,C,Teal,No
Heritage Smoke,18014-0000,C,Beige,No
Lively Sage,146404-0001,C,White,No
Margo Papaya,305811-0013,C,Orange,No
Margo Snow,305811-0001,C,Beige,No
Tectonic Parchment,46092-0003,B,Beige,Yes
Accord II Crimson,45936-0000,C,Red,No
Ambrose Flax,40608-0004,C,Beige,No
Assemble Sand,47246-0001,C,Beige,No
Blox Slate,45542-0000,C,Beige,No
Carlo Sand,146479-0003,B,Beige,Yes
Cast Bisque,49014-0000,A,Beige,No
Charmer Desert,42111-0005,C,Beige,No
Royale Lagoon,73064-0005,C,Teal,No
Underline Denim,146035-0001,C,Blue,No
Vista Slate,46106-0009,B,Gray,Yes
Argo Toffee,47250-0003,C,Brown,No
Etched Angles Cognac,146469-0002,C,Beige,No
Jaipur Frame II Onyx,146409-0004,C,Black,No
Nuance Eggshell,400000-0002,B,Beige,No
Valley Lagoon,146597-0004,B,Teal,Yes
Vista Alabaster,46106-0001,C,Beige,No
Cast Twilight,49017-0000,A,Gray,No
Cycle Sparrow,146396-0002,C,Beige,No
Kaia Linen,146437-0001,B,Beige,Yes
Royale Silk,73064-0001,C,Beige,No
Toro Wren,44502-0003,B,Beige,Yes
Vista Sand,46106-0006,C,Beige,No
Empire Dove,45837-0002,C,Beige,No
Margo Mink,305811-0004,C,Brown,No
Nuance Dove,400000-0004,B,Beige,No
Shelter Canyon,44530-0005,C,Brown,No
Vista Seasalt,46106-0008,B,Beige,Yes
Compose Linen,44459-0001,B,White,Yes
Entice Sunrise,40636-0000,B,Multicolor,Yes
Nuance Spa,400000-0009,B,Teal,No
Shadow Snow,51000-0000,B,Beige,Yes
Etched Angles II Char,146470-0001,C,Gray,No
Underline Dove,146035-0005,C,Gray,No
Nuance Bisque,400000-0008,B,Beige,No
Nuance Sage,400000-0007,B,Beige,No
Valley Dune,146597-0006,C,Beige,No
Patra Mushroom,146425-0005,C,Gray,No
Shelter Linen,44530-0001,C,Beige,No
Spinner Diamond Pebble,145987-0003,C,Beige,No
Nuance Shibori,400000-0010,B,Navy,No
Entice Linen,40635-0000,B,Beige,Yes
Nuance Teak,400000-0011,B,Brown,No
Shelter Grove,44530-0004,C,Brown,No
Abundant Denim,370011-0007,C,Gray,No
Abundant Parchment,370011-0009,C,Beige,No
Abundant Seaglass,370011-0008,B,Green,Yes
Abundant Snow,370011-0001,C,Beige,No
Abundant Wren,370011-0003,B,Beige,Yes
Dither Antique,46102-0006,C,Beige,No
Dither Bark,46102-0007,C,Brown,No
Dither Fern,46102-0009,C,Green,No
Dither Slate,46102-0008,C,Gray,No
Dither Snow,46102-0005,C,Beige,No
Dither Toffee,46102-0004,C,Beige,No
Dumont Cream,305825-0016,C,Beige,No
Dumont Slate,305825-0017,C,Gray,No
Dumont Spa,305825-0018,C,Gray,No
Dumont Taupe,305825-0019,C,Beige,No
Equal Ink,56110-0001,B,Gray,Yes
Odette Alabaster,47148-0001,C,Beige,No
Odette Fern,47148-0008,C,Green,No
Odette Sage,47148-0009,C,Beige,No
Odette Sand,47148-0003,C,Beige,No
Odette Slate,47148-0011,C,Gray,No
Odette Spa,47148-0010,C,Teal,No
Proof Camel,77002-0006,C,Beige,No
Proof Denim,77002-0005,C,Gray,No
Proof Fossil,77002-0009,C,Beige,No
Proof Putty,77002-0002,C,Beige,No
Proof Slate,77002-0008,C,Gray,No
Proof Snow,77002-0001,C,Beige,No
Rafi Mist,146280-0004,C,Gray,No
Rafi Oat,146280-0002,C,Beige,No
Rafi Pearl,146280-0001,C,Beige,No
Rafi Sand,146280-0007,C,Beige,No
Shelter Surf,44530-0003,C,Gray,No
Shelter White,44530-0002,C,White,No
Nuance Sand,400000-0003,B,Beige,No
