suggested_bucket,decision,manufacturer,collection,category,sku,name,msrp,sale_price,images,quote_only,show_price_online,id
REVIEW,,Homecrest,Mode,Tables,13300,"Mode 30"" Square End Table",,,1,True,False,4196
REVIEW,,Homecrest,Mode,Fire Tables,133252TT,"Mode Lounge Fire Table 32"" x 52""",,,1,True,False,4407
REVIEW,,Homecrest,Mode,Fire Tables,133660TT,"Mode Lounge Fire Table 36"" x 60""",,,1,True,False,4408
REVIEW,,Homecrest,Mode,Bar,1344110B,"Mode 44"" x 110"" Rectangle Balcony Table (no Hole)",,,1,True,False,6120
REVIEW,,Homecrest,Mode,Bar,1344110BR,"Mode 44"" x 110"" Rectangle Bar Table (no Hole)",,,1,True,False,6124
REVIEW,,Homecrest,Mode,Bar,1344110BRWH,"Mode 44"" x 110"" Rectangle Bar Table (with Hole)",,,1,True,False,4210
REVIEW,,Homecrest,Mode,Bar,1344110BWH,"Mode 44"" x 110"" Rectangle Balcony Table (with Hole)",,,1,True,False,4209
REVIEW,,Homecrest,Mode,Tables,1344110F,"Mode 44"" x 110"" Rectangle Dining Table (no Hole)",,,1,True,False,6116
REVIEW,,Homecrest,Mode,Tables,1344110FWH,"Mode 44"" x 110"" Rectangle Dining Table (with Hole)",,,1,True,False,4208
REVIEW,,Homecrest,Mode,Bar,134444B,"Mode 44"" Square Balcony Table (no Hole)",,,1,True,False,6117
REVIEW,,Homecrest,Mode,Bar,134444BR,"Mode 44"" Square Bar Table (no Hole)",,,1,True,False,6121
REVIEW,,Homecrest,Mode,Bar,134444BRWH,"Mode 44"" Square Bar Table (with Hole)",,,1,True,False,4201
REVIEW,,Homecrest,Mode,Bar,134444BWH,"Mode 44"" Square Balcony Table (with Hole)",,,1,True,False,4200
REVIEW,,Homecrest,Mode,Tables,134444C,"Mode 44"" Square Chat Table",,,1,True,False,4198
REVIEW,,Homecrest,Mode,Tables,134444F,"Mode 44"" Square Dining Table (no Hole)",,,1,True,False,6113
REVIEW,,Homecrest,Mode,Tables,134444FWH,"Mode 44"" Square Dining Table (with Hole)",,,1,True,False,4199
REVIEW,,Homecrest,Mode,Tables,134444L,"Mode 44"" Square Coffee Table",,,1,True,False,4197
REVIEW,,Homecrest,Mode,Bar,134466B,"Mode 44"" x 66"" Rectangle Balcony Table (no Hole)",,,1,True,False,6118
