type,category,item_number,name,grade,restriction,current_db_status
finish,Powdercoat,J,Beachwood,,,in finishes - keep as finish
finish,Powdercoat,K,Kona,,,in finishes - keep as finish
finish,Powdercoat,F,Storm,,,in finishes - keep as finish
finish,Powdercoat,T,Graphite,,,in finishes - keep as finish
finish,Powdercoat,8,Black,,,in finishes - keep as finish
finish,Rustic,RG0,Cape Grey,,available on select items,in finishes - keep as finish
finish,Rustic,RX0,Boardwalk,,available on select items,in finishes - keep as finish
finish,Rustic,RU0,Chestnut,,available on select items,in finishes - keep as finish
finish,Rustic,RT0,Teak,,available on select items,in finishes - keep as finish
finish,Rustic,RL0,Laguna,,available on select items,in finishes - keep as finish
finish,Rustic,RW0,Weathered Wood,,available on select items,in finishes - keep as finish
