id,sku,current_name,final_name,final_slug,method
4244,C0036RCT,Table Top Only,"Concrete 36"" Table Top Only",concrete-36-table-top-only,COLLECTION_PLUS_MEASUREMENT
4246,C0042RCT,Table Top Only,"Concrete 42"" Table Top Only",concrete-42-table-top-only,COLLECTION_PLUS_MEASUREMENT
4240,C2424SCT,Table Top Only,"Concrete 24"" Table Top Only",concrete-24-table-top-only,COLLECTION_PLUS_MEASUREMENT
4247,C0048RCT,Table Top Only,"Concrete 48"" Table Top Only",concrete-48-table-top-only,COLLECTION_PLUS_MEASUREMENT
3981,8539N-DC,Armless Center Chat Chair,Blair Slip Cover Armless Center Chat Chair,blair-slip-cover-armless-center-chat-chair,COLLECTION_ONLY
3982,8539A-DC,Chat Chair,Blair Slip Cover Chat Chair,blair-slip-cover-chat-chair,COLLECTION_ONLY
3992,8510A-DC,Corner,Blair Slip Cover Corner,blair-slip-cover-corner,COLLECTION_ONLY
3984,8539L-DC,Left Arm Chat Chair,Blair Slip Cover Left Arm Chat Chair,blair-slip-cover-left-arm-chat-chair,COLLECTION_ONLY
3987,8542L-DC,Left Arm Loveseat,Blair Slip Cover Left Arm Loveseat,blair-slip-cover-left-arm-loveseat,COLLECTION_ONLY
3990,8543L-DC,Left Arm Sofa,Blair Slip Cover Left Arm Sofa,blair-slip-cover-left-arm-sofa,COLLECTION_ONLY
3986,8542A-DC,Loveseat,Blair Slip Cover Loveseat,blair-slip-cover-loveseat,COLLECTION_ONLY
3985,8539R-DC,Right Arm Chat Chair,Blair Slip Cover Right Arm Chat Chair,blair-slip-cover-right-arm-chat-chair,COLLECTION_ONLY
3988,8542R-DC,Right Arm Loveseat,Blair Slip Cover Right Arm Loveseat,blair-slip-cover-right-arm-loveseat,COLLECTION_ONLY
3991,8543R-DC,Right Arm Sofa,Blair Slip Cover Right Arm Sofa,blair-slip-cover-right-arm-sofa,COLLECTION_ONLY
3989,8543A-DC,Sofa,Blair Slip Cover Sofa,blair-slip-cover-sofa,COLLECTION_ONLY
3983,8590A-DC,Swivel Rocker Chat Chair,Blair Slip Cover Swivel Rocker Chat Chair,blair-slip-cover-swivel-rocker-chat-chair,COLLECTION_ONLY
4187,1H35A-DC,Armless Center Chat Chair,Willow Cushion Armless Center Chat Chair,willow-cushion-armless-center-chat-chair,COLLECTION_ONLY
4176,83390,Armless Chat Chair,Urban Cushion Armless Chat Chair,urban-cushion-armless-chat-chair,COLLECTION_ONLY
4179,83420,Armless Loveseat,Urban Cushion Armless Loveseat,urban-cushion-armless-loveseat,COLLECTION_ONLY
4182,83430,Armless Sofa,Urban Cushion Armless Sofa,urban-cushion-armless-sofa,COLLECTION_ONLY
3993,4239A,Chat Chair,Boden Cushion Chat Chair,boden-cushion-chat-chair,COLLECTION_ONLY
4029,5139A-DC,Chat Chair,Elements Cushion Chat Chair,elements-cushion-chat-chair,COLLECTION_ONLY
4115,1639A,Chat Chair,Liberty Cushion Chat Chair,liberty-cushion-chat-chair,COLLECTION_ONLY
3942,2H37A-DC,Chat Chair,Ava Cushion Chat Chair,ava-cushion-chat-chair,COLLECTION_ONLY
4170,4537A,Chat Chair,Sutton Cushion Chat Chair,sutton-cushion-chat-chair,COLLECTION_ONLY
3938,7237A-DC,Chat Chair,Anthem Cushion Chat Chair,anthem-cushion-chat-chair,COLLECTION_ONLY
4188,1H37A-DC,Chat Chair,Willow Cushion Chat Chair,willow-cushion-chat-chair,COLLECTION_ONLY
4141,6139A-DC,Chat Chair,Revive Cushion Chat Chair,revive-cushion-chat-chair,COLLECTION_ONLY
4155,96380,Club Chair,Rowan Cushion Club Chair,rowan-cushion-club-chair,COLLECTION_ONLY
4183,83110,Corner,Urban Cushion Corner,urban-cushion-corner,COLLECTION_ONLY
4190,1H10A-DC,Corner,Willow Cushion Corner,willow-cushion-corner,COLLECTION_ONLY
4185,8328S,End Table,Urban Cushion End Table,urban-cushion-end-table,COLLECTION_ONLY
4033,5137A-DC,High Back Chat Chair,Elements Cushion High Back Chat Chair,elements-cushion-high-back-chat-chair,COLLECTION_ONLY
4172,4539A,High Back Chat Chair,Sutton Cushion High Back Chat Chair,sutton-cushion-high-back-chat-chair,COLLECTION_ONLY
4035,5144A-DC,High Back Loveseat,Elements Cushion High Back Loveseat,elements-cushion-high-back-loveseat,COLLECTION_ONLY
4036,5145A-DC,High Back Sofa,Elements Cushion High Back Sofa,elements-cushion-high-back-sofa,COLLECTION_ONLY
4075,2299F,High Back Swivel Rocker,Holly Hill Cushion High Back Swivel Rocker,holly-hill-cushion-high-back-swivel-rocker,COLLECTION_ONLY
4034,5192A-DC,High Back Swivel Rocker Chat Chair,Elements Cushion High Back Swivel Rocker Chat Chair,elements-cushion-high-back-swivel-rocker-chat-chair,COLLECTION_ONLY
4173,4592A,High Back Swivel Rocker Chat Chair,Sutton Cushion High Back Swivel Rocker Chat Chair,sutton-cushion-high-back-swivel-rocker-chat-chair,COLLECTION_ONLY
4177,8339L,Left Table Chat Chair,Urban Cushion Left Table Chat Chair,urban-cushion-left-table-chat-chair,COLLECTION_ONLY
4180,8342L,Left Table Loveseat,Urban Cushion Left Table Loveseat,urban-cushion-left-table-loveseat,COLLECTION_ONLY
4189,1H37LR-DC,Left or Right Arm Chat Chair,Willow Cushion Left or Right Arm Chat Chair,willow-cushion-left-or-right-arm-chat-chair,COLLECTION_ONLY
4031,5142A-DC,Loveseat,Elements Cushion Loveseat,elements-cushion-loveseat,COLLECTION_ONLY
3994,4242A,Loveseat,Boden Cushion Loveseat,boden-cushion-loveseat,COLLECTION_ONLY
4174,4542A,Loveseat,Sutton Cushion Loveseat,sutton-cushion-loveseat,COLLECTION_ONLY
4117,1642A,Loveseat,Liberty Cushion Loveseat,liberty-cushion-loveseat,COLLECTION_ONLY
3940,7242A-DC,Loveseat,Anthem Cushion Loveseat,anthem-cushion-loveseat,COLLECTION_ONLY
3943,2H42A-DC,Loveseat,Ava Cushion Loveseat,ava-cushion-loveseat,COLLECTION_ONLY
4143,6142A-DC,Loveseat,Revive Cushion Loveseat,revive-cushion-loveseat,COLLECTION_ONLY
4191,1H12A-DC,Ottoman,Willow Cushion Ottoman,willow-cushion-ottoman,COLLECTION_ONLY
4076,2212B,Ottoman,Holly Hill Cushion Ottoman,holly-hill-cushion-ottoman,COLLECTION_ONLY
4184,83120,Ottoman,Urban Cushion Ottoman,urban-cushion-ottoman,COLLECTION_ONLY
4119,1612A,Ottoman,Liberty Cushion Ottoman,liberty-cushion-ottoman,COLLECTION_ONLY
4186,91008,Ottoman Tray,Urban Cushion Ottoman Tray,urban-cushion-ottoman-tray,COLLECTION_ONLY
4178,8339R,Right Table Chat Chair,Urban Cushion Right Table Chat Chair,urban-cushion-right-table-chat-chair,COLLECTION_ONLY
4181,8342R,Right Table Loveseat,Urban Cushion Right Table Loveseat,urban-cushion-right-table-loveseat,COLLECTION_ONLY
4118,1643A,Sofa,Liberty Cushion Sofa,liberty-cushion-sofa,COLLECTION_ONLY
3944,2H43A-DC,Sofa,Ava Cushion Sofa,ava-cushion-sofa,COLLECTION_ONLY
4156,96430,Sofa,Rowan Cushion Sofa,rowan-cushion-sofa,COLLECTION_ONLY
3941,7243A-DC,Sofa,Anthem Cushion Sofa,anthem-cushion-sofa,COLLECTION_ONLY
4144,6143A-DC,Sofa,Revive Cushion Sofa,revive-cushion-sofa,COLLECTION_ONLY
4175,4543A,Sofa,Sutton Cushion Sofa,sutton-cushion-sofa,COLLECTION_ONLY
4032,5143A-DC,Sofa,Elements Cushion Sofa,elements-cushion-sofa,COLLECTION_ONLY
3995,4243A,Sofa,Boden Cushion Sofa,boden-cushion-sofa,COLLECTION_ONLY
4116,1690A,Swivel Rocker Chat Chair,Liberty Cushion Swivel Rocker Chat Chair,liberty-cushion-swivel-rocker-chat-chair,COLLECTION_ONLY
3939,7290A-DC,Swivel Rocker Chat Chair,Anthem Cushion Swivel Rocker Chat Chair,anthem-cushion-swivel-rocker-chat-chair,COLLECTION_ONLY
4171,4590A,Swivel Rocker Chat Chair,Sutton Cushion Swivel Rocker Chat Chair,sutton-cushion-swivel-rocker-chat-chair,COLLECTION_ONLY
4142,6191A-DC,Swivel Rocker Chat Chair,Revive Cushion Swivel Rocker Chat Chair,revive-cushion-swivel-rocker-chat-chair,COLLECTION_ONLY
4030,5190A-DC,Swivel Rocker Chat Chair,Elements Cushion Swivel Rocker Chat Chair,elements-cushion-swivel-rocker-chat-chair,COLLECTION_ONLY
