page,collection,category,name,sku,sku_2pack,material,width,depth,height,length,seat_height,arm_height,weight,notes,table_height_type
105,,Tables + Bases,"44"" x 88"" Rectangle Dining Table (no Hole)",134488F,,,44,,30,88,,,,no Hole,dining
105,,Tables + Bases,"44"" x 88"" Rectangle Dining Table (with Hole)",134488FWH,,,44,,30,88,,,,with Hole,dining
27,,Tables + Bases,"45.5"" Dining (with Hole)",9546S,,,84.25,84.25,30,,17,,,Seats: 8,dining
21,,Tables + Bases,Mode End Table/Corner Unit,1310020,,Aluminum,35.5,23,20,,,,,,end
101,,Tables + Bases,"Umbrella Base Plate 18"" - Balcony",23UMBP,,Zinc-Plated Solid Steel,,,,,,,,"Required with Umbrella; use with bases 2330B, 2334B, 2340B; 18"" umbrella base plate",balcony
101,,Tables + Bases,"Umbrella Base Plate 18"" - Bar",23UMBP,,Zinc-Plated Solid Steel,,,,,,,,"Required with Umbrella; use with bases 2330B, 2334B, 2340B; 18"" umbrella base plate",bar
101,,Tables + Bases,"Umbrella Base Plate 18"" - Dining",23UMBP,,Zinc-Plated Solid Steel,,,,,,,,"Required with Umbrella; use with bases 2330B, 2334B, 2340B; 18"" umbrella base plate",dining
101,,Tables + Bases,"Umbrella Base Plate 24"" - Balcony",33UMBP,,Zinc-Plated Solid Steel,,,,,,,,"Required with Umbrella; use with bases 3330B, 3334B, 3340B; 24"" umbrella base plate",balcony
101,,Tables + Bases,"Umbrella Base Plate 24"" - Bar",33UMBP,,Zinc-Plated Solid Steel,,,,,,,,"Required with Umbrella; use with bases 3330B, 3334B, 3340B; 24"" umbrella base plate",bar
101,,Tables + Bases,"Umbrella Base Plate 24"" - Dining",33UMBP,,Zinc-Plated Solid Steel,,,,,,,,"Required with Umbrella; use with bases 3330B, 3334B, 3340B; 24"" umbrella base plate",dining
126,,Umbrellas,6.5' Square Crank Lift/Auto Tilt Market Umbrella,454FMA-SQ,,,,,107,,,,20,"A - Overall Height: 107"", B - Clearance: 79"", C - Closed Clearance: 41"", D - Crank Clearance: 36"", Mast Diameter: 1.5""",
127,,Umbrellas,6.5' Square Pulley Lift Market Umbrella,454FM-SQ,,Aluminum,,,97,,,,16,"Overall Height: 97""; Clearance: 77""; Closed Clearance: 41""; Mast Diameter: 1.5""; Bar height pole option (47FM-BP) adds 10"" to overall height",
126,,Umbrellas,7.5' Octagon Crank Lift/Auto Tilt Market Umbrella,845FMA,,,,,98,,,,20,"A - Overall Height: 98"", B - Clearance: 72"", C - Closed Clearance: 49"", D - Crank Clearance: 36"", Mast Diameter: 1.5""",
127,,Umbrellas,7.5' Octagon Pulley Lift Market Umbrella,845FM,,Aluminum,,,94,,,,16,"Overall Height: 94""; Clearance: 76""; Closed Clearance: 44""; Mast Diameter: 1.5""; Bar height pole option (47FM-BP) adds 10"" to overall height",
59,,Umbrellas,9' Market Umbrella,854FMA,,,,,,,,,,Shown in Turquoise (Recacril) | Onyx Umbrella Pole,
126,,Umbrellas,9' Octagon Crank Lift/Auto Tilt Market Umbrella,854FMA,,,,,107,,,,22,"A - Overall Height: 107"", B - Clearance: 79"", C - Closed Clearance: 48"", D - Crank Clearance: 36"", Mast Diameter: 1.5"". Bar height pole option (47FM-BP) adds 10"" to overall height.",
