type,manufacturer,slug,url,lastmod
product,couture-jardin,olala-stool-cj,https://oasisgardenandpatio.com/shop/olala-stool-cj,2026-07-13
product,couture-jardin,olala-stool-dark-grey-cj,https://oasisgardenandpatio.com/shop/olala-stool-dark-grey-cj,2026-07-13
product,couture-jardin,play-armless-chair-cj,https://oasisgardenandpatio.com/shop/play-armless-chair-cj,2026-07-13
product,couture-jardin,play-armless-chair-grey-cj,https://oasisgardenandpatio.com/shop/play-armless-chair-grey-cj,2026-07-13
product,couture-jardin,play-armless-chair-with-side-table-cj,https://oasisgardenandpatio.com/shop/play-armless-chair-with-side-table-cj,2026-07-13
product,couture-jardin,play-armless-chair-with-side-table-grey-cj,https://oasisgardenandpatio.com/shop/play-armless-chair-with-side-table-grey-cj,2026-07-13
product,couture-jardin,play-ottoman-cj,https://oasisgardenandpatio.com/shop/play-ottoman-cj,2026-07-13
product,couture-jardin,play-ottoman-grey-cj,https://oasisgardenandpatio.com/shop/play-ottoman-grey-cj,2026-07-13
product,couture-jardin,polo-armchair-anthracite-cj,https://oasisgardenandpatio.com/shop/polo-armchair-anthracite-cj,2026-07-13
product,couture-jardin,polo-armchair-white-cj,https://oasisgardenandpatio.com/shop/polo-armchair-white-cj,2026-07-13
product,couture-jardin,polo-bar-stool-cj,https://oasisgardenandpatio.com/shop/polo-bar-stool-cj,2026-07-14
product,couture-jardin,polo-bar-stool-white-cj,https://oasisgardenandpatio.com/shop/polo-bar-stool-white-cj,2026-07-14
product,couture-jardin,polo-bar-table-cj,https://oasisgardenandpatio.com/shop/polo-bar-table-cj,2026-07-14
product,couture-jardin,polo-chaise-lounge-2-cj,https://oasisgardenandpatio.com/shop/polo-chaise-lounge-2-cj,2026-07-13
product,couture-jardin,polo-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/polo-chaise-lounge-cj,2026-07-13
product,couture-jardin,polo-chaise-lounge-cushion-cj,https://oasisgardenandpatio.com/shop/polo-chaise-lounge-cushion-cj,2026-07-13
product,couture-jardin,polo-dining-chair-anthracite-cj,https://oasisgardenandpatio.com/shop/polo-dining-chair-anthracite-cj,2026-07-14
product,couture-jardin,polo-dining-chair-cj,https://oasisgardenandpatio.com/shop/polo-dining-chair-cj,2026-07-14
product,couture-jardin,polo-dining-table-cj,https://oasisgardenandpatio.com/shop/polo-dining-table-cj,2026-07-14
product,couture-jardin,polo-director-chair-cj,https://oasisgardenandpatio.com/shop/polo-director-chair-cj,2026-07-14
product,couture-jardin,polo-director-chair-white-cj,https://oasisgardenandpatio.com/shop/polo-director-chair-white-cj,2026-07-13
product,couture-jardin,polo-extension-dining-table-cj,https://oasisgardenandpatio.com/shop/polo-extension-dining-table-cj,2026-07-14
product,couture-jardin,polo-extension-dining-table-white-cj,https://oasisgardenandpatio.com/shop/polo-extension-dining-table-white-cj,2026-07-14
product,couture-jardin,polo-rocking-chair-cj,https://oasisgardenandpatio.com/shop/polo-rocking-chair-cj,2026-07-13
product,couture-jardin,polo-rocking-chair-white-cj,https://oasisgardenandpatio.com/shop/polo-rocking-chair-white-cj,2026-07-13
product,couture-jardin,polo-sofa-cushion-cj,https://oasisgardenandpatio.com/shop/polo-sofa-cushion-cj,2026-07-13
product,couture-jardin,scoop-armchair-cj,https://oasisgardenandpatio.com/shop/scoop-armchair-cj,2026-07-13
