id,sku,name,collection,category_id,sub_category,manufacturer_id,display_order,featured,is_active,catalog_visible,available_online,quote_only,price,msrp,category_name,manufacturer_name
5123,MLA-8ST2,Marella Stainless Steel Stem,,39,Cabana,28,0,False,True,True,True,False,216.00,216.00,Umbrella Bases,Frankford Umbrellas
5124,DP-ST (4),Stainless Steel Stem Surface Mount (4),,39,Cabana,28,0,False,True,True,True,False,640.00,640.00,Umbrella Bases,Frankford Umbrellas
5462,671548,Tuscany Alumiron Umbrella Base,,39,,15,0,False,True,True,False,True,,,Umbrella Bases,Hanamint
5463,671550,Alumiron Umbrella Base,,39,,15,0,False,True,True,False,True,,,Umbrella Bases,Hanamint
5464,672301,Ventura Cast Iron Umbrella Base,,39,,15,0,False,True,True,False,True,,,Umbrella Bases,Hanamint
5465,677301,Add-on Weight,,39,,15,0,False,True,True,False,True,,,Umbrella Bases,Hanamint
5558,IG,In-Ground Mount,,39,,28,0,False,True,True,True,False,280.00,280.00,Umbrella Bases,Frankford Umbrellas
5562,36G-SQx4,Square Galvanized Steel Base and Base Stacks 800 lbs,,39,Cantilever,28,0,False,True,True,True,False,5080.00,5080.00,Umbrella Bases,Frankford Umbrellas
5563,BZ-SM,"Bazooka In-Ground Anchored Stem (1.5"")",,39,Market,28,0,False,True,True,True,False,345.00,345.00,Umbrella Bases,Frankford Umbrellas
5564,38-SAP,"Sand and Soil Anchor (1.5"")",,39,,28,0,False,True,True,True,False,157.00,157.00,Umbrella Bases,Frankford Umbrellas
5565,38-SAP-2,"Sand and Soil Anchor (2"")",,39,,28,0,False,True,True,True,False,220.00,220.00,Umbrella Bases,Frankford Umbrellas
5617,24G-TC,Round Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5618,30G-TC,Round Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5619,36G-TC,Round Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5620,40G-TC,Round Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5621,20G-SQ-TC,Square Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5622,24G-SQ-TC,Square Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5623,36G-SQ-TC,Square Aluminum Top Cover,,39,,28,0,False,True,False,False,True,,,Umbrella Bases,Frankford Umbrellas
5625,AMK-C22,Concrete Mount Kit,,39,,12,0,False,True,True,True,False,245.00,245.00,Umbrella Bases,Treasure Garden
5626,AMK-G,In-Ground Mount Kit,,39,,12,0,False,True,True,True,False,190.00,190.00,Umbrella Bases,Treasure Garden
5627,AMK-W,Wood Mount Kit,,39,,12,0,False,True,True,True,False,155.00,155.00,Umbrella Bases,Treasure Garden
5628,MKC23,Concrete Mount Kit,,39,,12,0,False,True,True,True,False,240.00,240.00,Umbrella Bases,Treasure Garden
5629,MKG23,In-Ground Mount Kit,,39,,12,0,False,True,True,True,False,180.00,180.00,Umbrella Bases,Treasure Garden
5630,MKW21,Wood Deck Mount Kit,,39,,12,0,False,True,True,True,False,150.00,150.00,Umbrella Bases,Treasure Garden
5631,MKSB21-_,External Stem,,39,,12,0,False,True,True,True,False,75.00,75.00,Umbrella Bases,Treasure Garden
2180,171311,Corsica Cushion Lounge Chair,,41,,25,0,False,True,True,False,True,,,Replacement Parts,Tropitone
2181,171325NT,Corsica Cushion Swivel Action Lounger,,41,,25,0,False,True,True,False,True,,,Replacement Parts,Tropitone
2182,171317,Corsica Cushion Ottoman,,41,,25,0,False,True,True,False,True,,,Replacement Parts,Tropitone
2183,171314,Corsica Cushion Love Seat,,41,,25,0,False,True,True,False,True,,,Replacement Parts,Tropitone
2184,171321,Corsica Cushion Sofa,,41,,25,0,False,True,True,False,True,,,Replacement Parts,Tropitone
2185,171310CL,Corsica Cushion Crescent Love Seat,,41,,25,0,False,True,True,False,True,,,Replacement Parts,Tropitone
