id,sku,name,slug,collection,category_id,category,specs,is_active,available_online
5763,C4242SCT+3330B,"Concrete 42"" Square Dining Table (Pedestal Base, with Hole)",concrete-42-square-dining-table-pedestal-base-with-hole-c4242sct-3330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}",True,True
5764,C4242SCT+3334B,"Concrete 42"" Square Balcony Table (Pedestal Base, with Hole)",concrete-42-square-balcony-table-pedestal-base-with-hole-c4242sct-3334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}",True,True
5765,C4242SCT+3340B,"Concrete 42"" Square Bar Table (Pedestal Base, with Hole)",concrete-42-square-bar-table-pedestal-base-with-hole-c4242sct-3340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}",True,True
5766,C4242SCTNU+2742SB,"Concrete 42"" Square Coffee Table (Trestle Base, no Hole)",concrete-42-square-coffee-table-trestle-base-no-hole-c4242sctnu-2742sb-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '15.1""'}",True,True
5767,C4242SCTNU+3330B,"Concrete 42"" Square Dining Table (Pedestal Base, no Hole)",concrete-42-square-dining-table-pedestal-base-no-hole-c4242sctnu-3330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}",True,True
5768,C4242SCTNU+3334B,"Concrete 42"" Square Balcony Table (Pedestal Base, no Hole)",concrete-42-square-balcony-table-pedestal-base-no-hole-c4242sctnu-3334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}",True,True
5769,C4242SCTNU+3340B,"Concrete 42"" Square Bar Table (Pedestal Base, no Hole)",concrete-42-square-bar-table-pedestal-base-no-hole-c4242sctnu-3340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}",True,True
5770,C0048RCT+3330B,"Concrete 48"" Round Dining Table (Pedestal Base, with Hole)",concrete-48-round-dining-table-pedestal-base-with-hole-c0048rct-3330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}",True,True
5771,C0048RCT+3334B,"Concrete 48"" Round Balcony Table (Pedestal Base, with Hole)",concrete-48-round-balcony-table-pedestal-base-with-hole-c0048rct-3334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '48""', 'Width': '48""', 'Height': '33.25""'}",True,True
5772,C0048RCT+3340B,"Concrete 48"" Round Bar Table (Pedestal Base, with Hole)",concrete-48-round-bar-table-pedestal-base-with-hole-c0048rct-3340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '48""', 'Width': '48""', 'Height': '39.25""'}",True,True
