id,sku,available_online,quote_only
5482,5123-3156O,True,True
2147,5123-42RDC,True,True
5497,5123-42RDO,True,True
4891,5125-42SQC,True,True
4892,5125-42SQO,True,True
4033,5137A-DC,True,True
4029,5139A-DC,True,True
4038,5139L-DC,True,True
4037,5139N-DC,True,True
4039,5139R-DC,True,True
4031,5142A-DC,True,True
4041,5142L-DC,True,True
4040,5142N-DC,True,True
4042,5142R-DC,True,True
4032,5143A-DC,True,True
4044,5143L-DC,True,True
4043,5143N-DC,True,True
4045,5143R-DC,True,True
4035,5144A-DC,True,True
4036,5145A-DC,True,True
5230,5150-36RDC,True,True
2144,5152-2545O,True,True
2145,5152-2565O,True,True
2142,5153-2545O,True,True
2143,5153-2565O,True,True
5483,5160-54RDC,True,True
4887,5162-42RDC,True,True
4893,5163-42RDC,True,True
4014,51680,True,True
6281,51690,True,True
4018,51780,True,True
6285,51790,True,True
4015,51880,True,True
6283,51890,True,True
4030,5190A-DC,True,True
4034,5192A-DC,True,True
4017,51980,True,True
6284,51990,True,True
3954,51AR352,True,True
4019,51AR392,True,True
4021,51AR392L,True,True
4022,51AR392R,True,True
4023,51AR422,True,True
4024,51AR422L,True,True
3959,51AR422N,True,True
4025,51AR422R,True,True
4026,51AR432,True,True
4027,51AR432L,True,True
3963,51AR432N,True,True
4028,51AR432R,True,True
4020,51AR902,True,True
4013,51AR902N,True,True
5484,5360-X24P,True,True
5485,5360-X24S,True,True
4403,54RCTFPTT+89RBC,True,True
5778,54RCTFPTT+89RNC,True,True
4422,54RSGFPTT+89RBC,True,True
5784,54RSGFPTT+89RNC,True,True
4427,54RTMFPTT+89RBC,True,True
5786,54RTMFPTT+89RNC,True,True
4047,56350,True,True
6286,56350-2,True,True
4053,5635M,True,True
6288,5635M-2,True,True
4048,56370,True,True
6287,56370-2,True,True
4054,5637M,True,True
6289,5637M-2,True,True
4051,56450,True,True
4057,5645M,True,True
4052,56470,True,True
4058,5647M,True,True
4049,56550,True,True
4055,5655M,True,True
4050,56570,True,True
4056,5657M,True,True
4217,5723B,True,True
4218,5744B,True,True
4939,6-DT03,True,True
4942,6-DT07,True,True
4940,6-OT03,True,True
4941,6-OT05,True,True
4938,6-ST01,True,True
4154,6110A-DC,True,True
5429,611803,True,True
4141,6139A-DC,True,True
4146,6139L-DC,True,True
4145,6139N-DC,True,True
4147,6139R-DC,True,True
4143,6142A-DC,True,True
4149,6142L-DC,True,True
4148,6142N-DC,True,True
4150,6142R-DC,True,True
4144,6143A-DC,True,True
4152,6143L-DC,True,True
4151,6143N-DC,True,True
4153,6143R-DC,True,True
5461,616615,True,True
3085,616619,True,True
3083,616621,True,True
3082,616690,True,True
4142,6191A-DC,True,True
4128,61AR350,True,True
4129,61AR390,True,True
4131,61AR39L,True,True
4132,61AR39R,True,True
4134,61AR420,True,True
4135,61AR42L,True,True
4133,61AR42N,True,True
4136,61AR42R,True,True
4138,61AR430,True,True
4139,61AR43L,True,True
4137,61AR43N,True,True
4140,61AR43R,True,True
4130,61AR902,True,True
5194,62-OTM2846,True,True
5193,62-STM20SQ,True,True
5190,62109-2S,True,True
5191,62109-3S,True,True
5188,62109-CC,True,True
5189,62109-SR,True,True
5192,62170-O,True,True
4268,6224R,True,True
6105,6224S,True,True
4269,622644,True,True
6111,624274XBLT,True,True
6110,624274XFLT,True,True
6107,6242SBLT,True,True
6109,6242SBLTNU,True,True
6106,6242SFLT,True,True
6108,6242SFLTNU,True,True
6112,6254RBLT,True,True
4281,6254RFLT,True,True
5170,651-S,True,True
5175,651-SBS,True,True
5173,651-SCS,True,True
5185,65156-2S,True,True
5186,65156-3S,True,True
5183,65156-CC,True,True
5184,65156-SR,True,True
5177,65168-3S,True,True
5179,65192-A,True,True
5181,65192-SR,True,True
5178,65192P-A,True,True
5180,65192P-SR,True,True
5182,65198-CHW,True,True
5171,653-A,True,True
5176,653-SBS,True,True
5174,653-SCS,True,True
5172,653-SR,True,True
5187,6590-O,True,True
2187,660908C50,True,True
5462,671548,True,True
5463,671550,True,True
5464,672301,True,True
5465,677301,True,True
5166,692-C,True,True
5167,692-L,True,True
5165,692-R,True,True
5163,695-2S,True,True
5164,695-3S,True,True
5160,695-CC,True,True
5161,695-SB,True,True
5162,695-SR,True,True
5168,696-O,True,True
5169,699-CHW,True,True
5378,704116,True,True
5380,704117,True,True
5376,704131,True,True
5381,704331,True,True
5377,704341,True,True
5379,704346,True,True
5382,704347,True,True
2921,704411,True,True
5383,704417,True,True
5384,704421,True,True
5385,704428,True,True
5386,704431,True,True
5387,704453,True,True
5325,722043,True,True
5326,722053,True,True
5324,722090,True,True
5319,722099,True,True
5321,722548,True,True
5327,722636,True,True
5323,722765,True,True
5328,722784,True,True
5322,722822,True,True
5320,722845,True,True
3938,7237A-DC,True,True
3940,7242A-DC,True,True
3941,7243A-DC,True,True
5407,725090,True,True
3939,7290A-DC,True,True
2280,731370,True,True
2281,732311,True,True
2283,732314,True,True
2282,732317,True,True
2284,732321,True,True
2279,732325NT,True,True
2285,740501,True,True
2289,740501PS,True,True
2287,740527-28,True,True
2291,740527PS-28,True,True
2288,740532,True,True
2286,740570,True,True
2290,740570PS,True,True
2292,741232PS,True,True
5219,77180-O,True,True
5217,77186-2L,True,True
5214,77186-2R,True,True
5212,77186-2S,True,True
5213,77186-3S,True,True
5216,77186-C,True,True
5210,77186-CC,True,True
5215,77186-CR,True,True
5211,77186-SR,True,True
5218,77187-B,True,True
5221,77192-A,True,True
5227,77192-BS,True,True
5225,77192-CS,True,True
5223,77192-SR,True,True
5222,77192P-A,True,True
5228,77192P-BS,True,True
5226,77192P-CS,True,True
5224,77192P-SR,True,True
5220,77198-CH,True,True
4159,7A180,True,True
6324,7A190,True,True
4157,7A681,True,True
6325,7A691,True,True
4161,7A781,True,True
6326,7A791,True,True
4158,7A880,True,True
6327,7A890,True,True
4160,7A980,True,True
6328,7A990,True,True
4183,83110,True,True
4184,83120,True,True
4185,8328S,True,True
4176,83390,True,True
4177,8339L,True,True
4178,8339R,True,True
4179,83420,True,True
4180,8342L,True,True
4181,8342R,True,True
4182,83430,True,True
3979,8410A-DC,True,True
3969,8439A-DC,True,True
3971,8439L-DC,True,True
3968,8439N-DC,True,True
3972,8439R-DC,True,True
3973,8442A-DC,True,True
3974,8442L-DC,True,True
3975,8442R-DC,True,True
3976,8443A-DC,True,True
3977,8443L-DC,True,True
3978,8443R-DC,True,True
3970,8490A-DC,True,True
3992,8510A-DC,True,True
3982,8539A-DC,True,True
3984,8539L-DC,True,True
3981,8539N-DC,True,True
3985,8539R-DC,True,True
3986,8542A-DC,True,True
3987,8542L-DC,True,True
3988,8542R-DC,True,True
3989,8543A-DC,True,True
3990,8543L-DC,True,True
3991,8543R-DC,True,True
3983,8590A-DC,True,True
5154,86156-2S,True,True
5155,86156-3S,True,True
5151,86156-CC,True,True
5152,86156-SB,True,True
5153,86156-SR,True,True
5157,86158-C,True,True
5158,86158-L,True,True
5156,86158-R,True,True
5159,8690-O,True,True
2271,891511PS,True,True
2269,891513PS,True,True
2272,891517PS,True,True
2267,891524PS,True,True
2275,891526PS,True,True
2268,891528PS,True,True
2276,891529PS,True,True
2277,891532PS,True,True
2278,891533PS,True,True
2265,891732,True,True
2266,891733,True,True
2263,891814,True,True
2273,891814PS,True,True
2270,891820PS,True,True
2264,891821,True,True
2274,891821PS,True,True
4405,893250XLTTT,True,True
4401,893252XCTTT,True,True
4420,893252XSGTT,True,True
4410,893252XSHTT,True,True
4415,893252XSLTT,True,True
6017,893252XSLTT+89XNC,True,True
4425,893252XTMTT+89XNC,True,True
4402,893660XCTTT,True,True
4421,893660XSGTT,True,True
4411,893660XSHTT,True,True
4416,893660XSLTT,True,True
6018,893660XSLTT+89XNC,True,True
4426,893660XTMTT+89XNC,True,True
4406,893663XLTTT,True,True
2065,9-DT03,True,True
2064,9-DT07,True,True
2063,9-OT05,True,True
2062,9-ST01,True,True
2261,901610CC,True,True
2259,901610MC,True,True
2260,901610ML,True,True
2258,901610MR,True,True
2254,901611AC,True,True
2255,901650,True,True
2257,901650SD,True,True
2256,901652,True,True
2262,901710SC,True,True
5498,91-OTS285ORT,True,True
4931,91-ST18SQ,True,True
4929,91-WT1650RT,True,True
6125,91006,True,True
4186,91008,True,True
2048,937-SBW,True,True
2049,937-SRW,True,True
2058,942-SRW,True,True
4007,94350,True,True
6272,94350-2,True,True
4008,94370,True,True
6273,94370-2,True,True
4010,94480,True,True
4009,94580,True,True
2052,950-OW,True,True
2055,951-S,True,True
2060,951-SBS,True,True
2054,951-SCS,True,True
2053,952-CHW,True,True
