id,sku,name,mfg_name,cat_name,available_online,quote_only,show_price_online,price,sale_price,is_active,priced,scope
2300,868ECU,The Eclipse,Frankford Umbrellas,Umbrellas,True,False,True,6040.00,5436.00,True,True,OUT
2301,844FA-01,The Catalina,Frankford Umbrellas,Umbrellas,True,False,True,456.00,411.00,True,True,OUT
2302,845A,The Laurel,Frankford Umbrellas,Umbrellas,True,False,True,373.00,336.00,True,True,OUT
5133,CB87,CB87 Clam Shell Beach Cabana,Frankford Umbrellas,Umbrellas,True,False,True,1227.00,1105.00,True,True,OUT
5553,896NGU,The Nova,Frankford Umbrellas,Umbrellas,True,False,True,7310.00,6579.00,True,True,OUT
5555,844FWB-01,The Avalon,Frankford Umbrellas,Umbrellas,True,False,True,445.00,401.00,True,True,OUT
5556,845W,The Emerald Coast,Frankford Umbrellas,Umbrellas,True,False,True,381.00,343.00,True,True,OUT
5557,883MLA-SQ,Marella Resort Cabana,Frankford Umbrellas,Umbrellas,True,False,True,8650.00,7785.00,True,True,OUT
5561,868ARU-F,The Aurora Fiberglass,Frankford Umbrellas,Umbrellas,True,False,True,3680.00,3312.00,True,True,OUT
5615,BH-UMBRELLA,Beach Haven Folding Beach Umbrella,Frankford Umbrellas,Umbrellas,True,False,True,186.00,168.00,True,True,OUT
5616,639SS,Shade Star Beach Umbrella,Frankford Umbrellas,Umbrellas,True,False,True,270.00,243.00,True,True,OUT
4955,COVER-60,Replacement Cover 6',Galtech International,Replacement Parts,True,False,True,,315.00,True,True,OUT
4956,COVER-66,Replacement Cover 6x6',Galtech International,Replacement Parts,True,False,True,,372.00,True,True,OUT
4957,COVER-75,Replacement Cover 7.5',Galtech International,Replacement Parts,True,False,True,,285.00,True,True,OUT
4958,COVER-77,Replacement Cover 3.5x7',Galtech International,Replacement Parts,True,False,True,,379.00,True,True,OUT
4959,COVER-90,Replacement Cover 9',Galtech International,Replacement Parts,True,False,True,,353.00,True,True,OUT
4960,COVER-80,Replacement Cover 8x11',Galtech International,Replacement Parts,True,False,True,,675.00,True,True,OUT
4961,COVER-88,Replacement Cover 8x8',Galtech International,Replacement Parts,True,False,True,,687.00,True,True,OUT
4962,COVER-11,Replacement Cover 11',Galtech International,Replacement Parts,True,False,True,,529.00,True,True,OUT
4963,COVER-10,Replacement Cover 10x10',Galtech International,Replacement Parts,True,False,True,,754.00,True,True,OUT
4964,COVER-13,Replacement Cover 13',Galtech International,Replacement Parts,True,False,True,,990.00,True,True,OUT
4965,P-RIB,Rib Assembly,Galtech International,Replacement Parts,True,False,True,60.00,45.00,True,True,OUT
4966,BP,Bottom Pole,Galtech International,Replacement Parts,True,False,True,60.00,45.00,True,True,OUT
4967,BH,Bar Height Pole,Galtech International,Replacement Parts,True,False,True,70.00,53.00,True,True,OUT
4968,P-HUB,Runner Hub / Top Hub,Galtech International,Replacement Parts,True,False,True,55.00,42.00,True,True,OUT
4969,P-FINIAL,Finial,Galtech International,Replacement Parts,True,False,True,40.00,30.00,True,True,OUT
4970,P-PULLEYS,2-Pulley Kit,Galtech International,Replacement Parts,True,False,True,45.00,34.00,True,True,OUT
4971,P-PIN,Pin & Chain Assembly,Galtech International,Replacement Parts,True,False,True,30.00,23.00,True,True,OUT
4972,TFORMER,Transformer for Series 936/986,Galtech International,Replacement Parts,True,False,True,70.00,53.00,True,True,OUT
4973,FRAME-ALU-727,Replacement Frame Aluminum - 727 7.5',Galtech International,Replacement Parts,True,False,True,450.00,338.00,True,True,OUT
4974,FRAME-ALU-737,Replacement Frame Aluminum - 737 9',Galtech International,Replacement Parts,True,False,True,500.00,375.00,True,True,OUT
4976,FRAME-ALU-779,Replacement Frame Aluminum - 779 8x11',Galtech International,Replacement Parts,True,False,True,700.00,525.00,True,True,OUT
4977,FRAME-ALU-789,Replacement Frame Aluminum - 789 11',Galtech International,Replacement Parts,True,False,True,730.00,548.00,True,True,OUT
4978,FRAME-ALU-799,Replacement Frame Aluminum - 799 10x10',Galtech International,Replacement Parts,True,False,True,730.00,548.00,True,True,OUT
4979,FRAME-ALU-636,Replacement Frame Aluminum - 636 9',Galtech International,Replacement Parts,True,False,True,360.00,270.00,True,True,OUT
4980,FRAME-ALU-736,Replacement Frame Aluminum - 736 9',Galtech International,Replacement Parts,True,False,True,400.00,300.00,True,True,OUT
4981,FRAME-ALU-936,Replacement Frame Aluminum - 936 9',Galtech International,Replacement Parts,True,False,True,640.00,480.00,True,True,OUT
4982,FRAME-ALU-986,Replacement Frame Aluminum - 986 11',Galtech International,Replacement Parts,True,False,True,790.00,593.00,True,True,OUT
4983,FRAME-ALU-762,Replacement Frame Aluminum - 762 6x6',Galtech International,Replacement Parts,True,False,True,570.00,428.00,True,True,OUT
4984,FRAME-ALU-722,Replacement Frame Aluminum - 722 7.5',Galtech International,Replacement Parts,True,False,True,635.00,477.00,True,True,OUT
4985,FRAME-ALU-732,Replacement Frame Aluminum - 732 9',Galtech International,Replacement Parts,True,False,True,690.00,518.00,True,True,OUT
4986,FRAME-ALU-781,Replacement Frame Aluminum - 781 11',Galtech International,Replacement Parts,True,False,True,760.00,570.00,True,True,OUT
4987,FRAME-ALU-782,Replacement Frame Aluminum - 782 8x8',Galtech International,Replacement Parts,True,False,True,690.00,518.00,True,True,OUT
4988,FRAME-ALU-792,Replacement Frame Aluminum - 792 10x10',Galtech International,Replacement Parts,True,False,True,760.00,570.00,True,True,OUT
4989,FRAME-ALU-791,Replacement Frame Aluminum - 791 13',Galtech International,Replacement Parts,True,False,True,880.00,660.00,True,True,OUT
4990,FRAME-ALU-715AB,Replacement Frame Aluminum - 715AB 6',Galtech International,Replacement Parts,True,False,True,400.00,300.00,True,True,OUT
4991,FRAME-ALU-725,Replacement Frame Aluminum - 725 7.5',Galtech International,Replacement Parts,True,False,True,430.00,323.00,True,True,OUT
4992,FRAME-ALU-735,Replacement Frame Aluminum - 735 9',Galtech International,Replacement Parts,True,False,True,480.00,360.00,True,True,OUT
4993,FRAME-ALU-772,Replacement Frame Aluminum - 772 3.5x7',Galtech International,Replacement Parts,True,False,True,450.00,338.00,True,True,OUT
4994,FRAME-ALU-887,Replacement Frame Aluminum - 887 11',Galtech International,Replacement Parts,True,False,True,2200.00,1650.00,True,True,OUT
4995,FRAME-ALU-899,Replacement Frame Aluminum - 899 13',Galtech International,Replacement Parts,True,False,True,3100.00,2325.00,True,True,OUT
4996,FRAME-ALU-897,Replacement Frame Aluminum - 897 10x10',Galtech International,Replacement Parts,True,False,True,2200.00,1650.00,True,True,OUT
4997,FRAME-ALU-887-897-899-BASE,Replacement Frame Aluminum - 887-897-899-BASE,Galtech International,Replacement Parts,True,False,True,1050.00,788.00,True,True,OUT
4998,FRAME-WD-121,Replacement Frame Wood - 121 7.5',Galtech International,Replacement Parts,True,False,True,340.00,255.00,True,True,OUT
4999,FRAME-WD-221,Replacement Frame Wood - 221 7.5',Galtech International,Replacement Parts,True,False,True,340.00,255.00,True,True,OUT
5000,FRAME-WD-131,Replacement Frame Wood - 131 9',Galtech International,Replacement Parts,True,False,True,350.00,263.00,True,True,OUT
5001,FRAME-WD-132,Replacement Frame Wood - 132 9',Galtech International,Replacement Parts,True,False,True,400.00,300.00,True,True,OUT
5002,FRAME-WD-232,Replacement Frame Wood - 232 9',Galtech International,Replacement Parts,True,False,True,400.00,300.00,True,True,OUT
5003,FRAME-WD-136,Replacement Frame Wood - 136 9',Galtech International,Replacement Parts,True,False,True,400.00,300.00,True,True,OUT
5004,FRAME-WD-183,Replacement Frame Wood - 183 11',Galtech International,Replacement Parts,True,False,True,650.00,488.00,True,True,OUT
5005,FRAME-WD-531,Replacement Frame Wood - 531 9',Galtech International,Replacement Parts,True,False,True,800.00,600.00,True,True,OUT
5006,FRAME-WD-532,Replacement Frame Wood - 532 9',Galtech International,Replacement Parts,True,False,True,900.00,675.00,True,True,OUT
5007,FRAME-WD-537,Replacement Frame Wood - 537 9',Galtech International,Replacement Parts,True,False,True,900.00,675.00,True,True,OUT
5008,FRAME-WD-587,Replacement Frame Wood - 587 11',Galtech International,Replacement Parts,True,False,True,1200.00,900.00,True,True,OUT
4944,040ED,European Cast Iron Base - 40 lb,Galtech International,Umbrella Bases,True,False,True,400.00,300.00,True,True,OUT
4945,075ED,European Cast Iron Base - 75 lb,Galtech International,Umbrella Bases,True,False,True,600.00,450.00,True,True,OUT
4946,BSTUBE15,"Base Tube 1.5"" dia, 12"" height",Galtech International,Umbrella Bases,True,False,True,80.00,60.00,True,True,OUT
4947,040SQBK,Steel Plate Base - 40 lb (772 only),Galtech International,Umbrella Bases,True,False,True,400.00,300.00,True,True,OUT
4948,060SQ,Steel Plate Base - 60 lb,Galtech International,Umbrella Bases,True,False,True,600.00,450.00,True,True,OUT
4949,085SQ,Steel Plate Base - 85 lb,Galtech International,Umbrella Bases,True,False,True,800.00,600.00,True,True,OUT
4950,095SQ,Wheels Base - 95 lb,Galtech International,Umbrella Bases,True,False,True,1000.00,750.00,True,True,OUT
4951,120SQ,Heavy Weight Base - 120 lb,Galtech International,Umbrella Bases,True,False,True,1100.00,825.00,True,True,OUT
4952,170SQ,Heavy Weight Base - 170 lb,Galtech International,Umbrella Bases,True,False,True,1500.00,1125.00,True,True,OUT
4953,BSTUBE-SQ-12,"Premium Base Tube 12.5""",Galtech International,Umbrella Bases,True,False,True,80.00,60.00,True,True,OUT
4954,BSTUBE-SQ-24,"Premium Base Tube 24""",Galtech International,Umbrella Bases,True,False,True,90.00,68.00,True,True,OUT
3375,727,Deluxe Auto Tilt 7.5',Galtech International,Umbrellas,True,False,True,640.00,480.00,True,True,OUT
3376,737,Deluxe Auto Tilt Umbrella 9',Galtech International,Umbrellas,True,False,True,815.00,612.00,True,True,OUT
3377,779,Deluxe Auto Tilt Oval Umbrella 8'x11',Galtech International,Umbrellas,True,False,True,1250.00,938.00,True,True,OUT
3378,789,Deluxe Auto Tilt Umbrella 11',Galtech International,Umbrellas,True,False,True,1085.00,814.00,True,True,OUT
