id,sku,name,collection,specs,description,short_description
5724,254284FCT,"Concrete 42"" x 84"" Rectangle Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '84""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5725,254284BCT,"Concrete 42"" x 84"" Rectangle Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '84""', 'Width': '42""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5726,C2424SCT+5723B,"Concrete 24"" Square End Table (Post Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '21""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5727,C2644XCT+272644B,"Concrete 26"" x 44"" Rectangle Coffee Table (Trestle Base, no Hole)",Concrete,"{'Depth': '44""', 'Width': '26""', 'Height': '15.1""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5728,C2644XCT+5744B,"Concrete 26"" x 44"" Rectangle Coffee Table (Post Base, no Hole)",Concrete,"{'Depth': '44""', 'Width': '26""', 'Height': '16""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5729,C0030RCTWH+2330B,"Concrete 30"" Round Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5730,C0030RCTWH+2334B,"Concrete 30"" Round Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5731,C0030RCTWH+2340B,"Concrete 30"" Round Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5732,C0030RCT+2330B,"Concrete 30"" Round Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5733,C0030RCT+2334B,"Concrete 30"" Round Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
