variant_id,product_sku,variant_sku,variant_name,grade,msrp,sale_price
134,UM840,UM840-09-SWV,Black (SWV),Awning,1130.00,848.00
134,UM840,UM840-09-SWV,Black (SWV),C,520.00,390.00
1210,UM840,UM840-00-DWV,Bronze (DWV),A,745.00,559.00
1210,UM840,UM840-00-DWV,Bronze (DWV),Awning,1265.00,949.00
1210,UM840,UM840-00-DWV,Bronze (DWV),C,560.00,420.00
133,UM840,UM840-00-SWV,Bronze (SWV),A,715.00,537.00
133,UM840,UM840-00-SWV,Bronze (SWV),Awning,1130.00,848.00
133,UM840,UM840-00-SWV,Bronze (SWV),C,520.00,390.00
1209,UM840,UM840-SS-DWV,Silver Shadow (DWV),A,760.00,570.00
1209,UM840,UM840-SS-DWV,Silver Shadow (DWV),Awning,1295.00,972.00
1209,UM840,UM840-SS-DWV,Silver Shadow (DWV),C,575.00,432.00
132,UM840,UM840-SS-SWV,Silver Shadow (SWV),A,735.00,552.00
132,UM840,UM840-SS-SWV,Silver Shadow (SWV),Awning,1165.00,874.00
132,UM840,UM840-SS-SWV,Silver Shadow (SWV),C,540.00,405.00
1208,UM841,UM841-09-DWV,Black (DWV),A,1045.00,784.00
1208,UM841,UM841-09-DWV,Black (DWV),Awning,1655.00,1242.00
1208,UM841,UM841-09-DWV,Black (DWV),C,855.00,642.00
131,UM841,UM841-09-SWV,Black (SWV),A,975.00,732.00
131,UM841,UM841-09-SWV,Black (SWV),Awning,1430.00,1073.00
131,UM841,UM841-09-SWV,Black (SWV),C,770.00,578.00
1207,UM841,UM841-00-DWV,Bronze (DWV),A,1045.00,784.00
1207,UM841,UM841-00-DWV,Bronze (DWV),Awning,1655.00,1242.00
1207,UM841,UM841-00-DWV,Bronze (DWV),C,855.00,642.00
130,UM841,UM841-00-SWV,Bronze (SWV),A,975.00,732.00
130,UM841,UM841-00-SWV,Bronze (SWV),Awning,1430.00,1073.00
130,UM841,UM841-00-SWV,Bronze (SWV),C,770.00,578.00
1206,UM841,UM841-SS-DWV,Silver Shadow (DWV),A,1095.00,822.00
1206,UM841,UM841-SS-DWV,Silver Shadow (DWV),Awning,1730.00,1298.00
1206,UM841,UM841-SS-DWV,Silver Shadow (DWV),C,900.00,675.00
129,UM841,UM841-SS-SWV,Silver Shadow (SWV),A,1025.00,769.00
129,UM841,UM841-SS-SWV,Silver Shadow (SWV),Awning,1480.00,1110.00
129,UM841,UM841-SS-SWV,Silver Shadow (SWV),C,810.00,608.00
1263,UM847SQ,UM847SQ-09-SWV,Black (SWV),A,700.00,525.00
1263,UM847SQ,UM847SQ-09-SWV,Black (SWV),Awning,1060.00,795.00
1263,UM847SQ,UM847SQ-09-SWV,Black (SWV),C,480.00,360.00
1262,UM847SQ,UM847SQ-00-SWV,Bronze (SWV),A,700.00,525.00
1262,UM847SQ,UM847SQ-00-SWV,Bronze (SWV),Awning,1060.00,795.00
1262,UM847SQ,UM847SQ-00-SWV,Bronze (SWV),C,480.00,360.00
1264,UM847SQ,UM847SQ-SS-SWV,Silver Shadow (SWV),A,720.00,540.00
1264,UM847SQ,UM847SQ-SS-SWV,Silver Shadow (SWV),Awning,1090.00,818.00
1264,UM847SQ,UM847SQ-SS-SWV,Silver Shadow (SWV),C,505.00,379.00
1260,UM850,UM850-02-SWV,Anthracite (SWV),A,875.00,657.00
1260,UM850,UM850-02-SWV,Anthracite (SWV),C,690.00,518.00
1261,UM850,UM850-03-SWV,White (SWV),A,875.00,657.00
1261,UM850,UM850-03-SWV,White (SWV),C,690.00,518.00
1258,UM851,UM851-02-SWV,Anthracite (SWV),A,1195.00,897.00
1258,UM851,UM851-02-SWV,Anthracite (SWV),C,980.00,735.00
1259,UM851,UM851-03-SWV,White (SWV),A,1195.00,897.00
1259,UM851,UM851-03-SWV,White (SWV),C,980.00,735.00
1266,UM8810RT,UM8810RT-02-SWV,Anthracite (SWV),A,875.00,657.00
1266,UM8810RT,UM8810RT-02-SWV,Anthracite (SWV),C,715.00,537.00
1268,UM8810RT,UM8810RT-09-SWV,Black (SWV),A,875.00,657.00
1268,UM8810RT,UM8810RT-09-SWV,Black (SWV),C,715.00,537.00
1265,UM8810RT,UM8810RT-00-SWV,Bronze (SWV),A,875.00,657.00
1265,UM8810RT,UM8810RT-00-SWV,Bronze (SWV),C,715.00,537.00
1267,UM8810RT,UM8810RT-03-SWV,White (SWV),A,875.00,657.00
1267,UM8810RT,UM8810RT-03-SWV,White (SWV),C,715.00,537.00
1273,UM907,UM907-09-SWV,Black (SWV),A,425.00,319.00
1273,UM907,UM907-09-SWV,Black (SWV),C,335.00,252.00
1271,UM907,UM907-00-SWV,Bronze (SWV),A,425.00,319.00
1271,UM907,UM907-00-SWV,Bronze (SWV),C,335.00,252.00
1272,UM907,UM907-03-SWV,White (SWV),A,425.00,319.00
1272,UM907,UM907-03-SWV,White (SWV),C,335.00,252.00
1225,UM920,UM920-02-DWV,Anthracite (DWV),A,565.00,424.00
1225,UM920,UM920-02-DWV,Anthracite (DWV),C,415.00,312.00
157,UM920,UM920-02-SWV,Anthracite (SWV),A,505.00,379.00
157,UM920,UM920-02-SWV,Anthracite (SWV),C,390.00,293.00
1227,UM920,UM920-09-DWV,Black (DWV),A,565.00,424.00
1227,UM920,UM920-09-DWV,Black (DWV),C,415.00,312.00
159,UM920,UM920-09-SWV,Black (SWV),A,505.00,379.00
159,UM920,UM920-09-SWV,Black (SWV),C,390.00,293.00
1224,UM920,UM920-00-DWV,Bronze (DWV),A,565.00,424.00
1224,UM920,UM920-00-DWV,Bronze (DWV),C,415.00,312.00
156,UM920,UM920-00-SWV,Bronze (SWV),A,505.00,379.00
156,UM920,UM920-00-SWV,Bronze (SWV),C,390.00,293.00
1226,UM920,UM920-03-DWV,White (DWV),A,565.00,424.00
1226,UM920,UM920-03-DWV,White (DWV),C,415.00,312.00
158,UM920,UM920-03-SWV,White (SWV),A,505.00,379.00
158,UM920,UM920-03-SWV,White (SWV),C,390.00,293.00
1223,UM970,UM970-09-DWV,Black (DWV),A,640.00,480.00
1223,UM970,UM970-09-DWV,Black (DWV),C,460.00,345.00
153,UM970,UM970-09-SWV,Black (SWV),A,580.00,435.00
153,UM970,UM970-09-SWV,Black (SWV),C,415.00,312.00
1222,UM970,UM970-00-DWV,Bronze (DWV),A,640.00,480.00
1222,UM970,UM970-00-DWV,Bronze (DWV),C,460.00,345.00
152,UM970,UM970-00-SWV,Bronze (SWV),A,580.00,435.00
152,UM970,UM970-00-SWV,Bronze (SWV),C,415.00,312.00
1270,UM977,UM977-09-SWV,Black (SWV),A,495.00,372.00
1270,UM977,UM977-09-SWV,Black (SWV),C,380.00,285.00
1269,UM977,UM977-00-SWV,Bronze (SWV),A,495.00,372.00
1269,UM977,UM977-00-SWV,Bronze (SWV),C,380.00,285.00
117,USA45-09,USA45-09,Black,A,1120.00,840.00
117,USA45-09,USA45-09,Black,C,890.00,668.00
